,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
370,Suez,12,EG,1548938931,20,29.97,32.54,68.58,7.87
371,Gillette,1,US,1548935580,60,44.29,-105.5,28.04,9.17
372,Takoradi,24,GH,1548938931,95,4.89,-1.75,83.03,5.86
373,Dandong,0,CN,1548938931,30,40.12,124.37,13.28,5.86
374,Kuybysheve,36,UA,1548938931,86,47.36,36.65,41.63,15.48
375,Tiszabercel,20,HU,1548937800,98,48.16,21.65,37.4,2.24
376,Talara,68,PE,1548938932,91,-4.58,-81.27,72.63,3.06
377,Yenagoa,8,NG,1548938932,92,4.92,6.26,85.64,4.29
378,Lucea,20,JM,1548936000,83,18.44,-78.17,75.2,4.7
379,Gizo,0,IL,1548937200,35,31.8,34.94,66.2,10.29
380,Adrar,0,DZ,1548936000,11,27.87,-0.29,77.0,14.99
381,Sonoita,1,US,1548935880,64,31.68,-110.66,50.0,8.05
382,Antalaha,8,MG,1548938933,78,-14.9,50.28,85.01,14.92
383,Mondlo,0,ZA,1548938933,69,-27.96,30.72,80.33,4.97
384,Lyantonde,0,UG,1548938933,69,-0.41,31.15,82.53,4.18
385,San Jeronimo,90,PE,1548936000,93,-13.65,-73.37,46.4,2.24
386,Alice Springs,90,AU,1548936000,35,-23.7,133.88,89.6,16.11
387,Bullhead City,90,US,1548937800,37,35.15,-114.57,53.6,4.7
388,Zhigansk,0,RU,1548938934,0,66.77,123.37,-50.04,3.62
389,Oranjestad,20,AW,1548936000,73,12.52,-70.03,77.0,13.87
390,Tomatlan,0,MX,1548938934,77,19.93,-105.25,55.13,3.62
391,Susanville,1,US,1548938100,82,40.42,-120.65,32.0,3.36
392,Vestmanna,64,FO,1548937200,100,62.16,-7.17,32.0,11.41
393,Mount Isa,75,AU,1548936000,100,-20.73,139.49,75.2,5.82
394,Prainha,76,BR,1548938934,78,-1.8,-53.48,81.5,5.19
395,San Ramon,75,NI,1548936000,88,12.92,-85.84,64.4,4.7
396,Black Forest,0,AU,1548936000,55,-34.96,138.58,62.6,13.87
397,Sao Filipe,20,CV,1548938935,93,14.9,-24.5,72.41,14.7
398,Kalachinsk,0,RU,1548938935,74,55.05,74.58,-16.74,10.0
399,Trinidad,20,UY,1548938935,91,-33.52,-56.9,74.79,11.12
400,Calama,90,CL,1548936000,87,-22.46,-68.93,57.2,2.39
401,Puerto Escondido,40,MX,1548934860,68,15.86,-97.07,71.6,6.93
402,Vuktyl,76,RU,1548938936,62,63.86,57.31,-7.79,4.74
403,Gat,0,SN,1548936000,26,14.69,-16.54,84.2,2.24
404,Belaya Gora,0,RU,1548938936,0,68.54,146.19,-57.83,2.84
405,Ramanuj Ganj,0,IN,1548938936,56,23.81,83.7,67.1,4.74
406,Nurota,90,UZ,1548937800,87,40.56,65.69,42.8,4.7
407,Talnakh,8,RU,1548938937,0,69.49,88.39,-49.46,1.61
408,Kruisfontein,76,ZA,1548938937,88,-34.0,24.73,70.74,7.31
409,Plouzane,64,FR,1548936000,93,48.38,-4.62,41.0,14.99
410,Shimoda,75,JP,1548936000,100,34.7,138.93,42.8,5.82
411,Tura,0,IN,1548938762,76,25.52,90.21,63.18,3.18
412,Mundargi,0,IN,1548938937,44,15.22,75.9,80.91,5.64
413,Saurimo,40,AO,1548936000,58,-9.66,20.4,82.4,6.93
414,Daru,0,SL,1548938938,50,7.99,-10.85,89.06,5.97
415,Skibbereen,75,IE,1548937800,87,51.55,-9.27,42.8,9.17
416,Porto Novo,0,BR,1548936000,65,-23.68,-45.44,80.6,1.12
417,Sambava,0,MG,1548938938,96,-14.27,50.17,84.69,15.03
418,Ixtapa,75,MX,1548935040,100,20.71,-105.21,66.2,2.62
419,Gimli,24,CA,1548938787,0,50.63,-96.99,-39.29,5.97
420,Volovo,80,RU,1548938939,98,53.55,38.01,27.5,11.34
421,Maningrida,64,AU,1548938939,73,-12.05,134.23,86.45,20.18
422,Oksfjord,0,NO,1548937200,67,70.24,22.35,23.0,19.46
423,Segou,0,SN,1548936000,17,12.41,-12.29,93.2,4.7
424,Martapura,12,ID,1548938939,93,-3.41,114.85,80.33,5.3
425,Hoa Binh,40,VN,1548936000,73,20.81,105.34,73.4,12.75
426,Kirakira,80,SB,1548938939,100,-10.46,161.92,81.95,18.84
427,Klaksvik,24,FO,1548937200,100,62.23,-6.59,32.0,11.41
428,Karratha,68,AU,1548938940,39,-20.74,116.85,94.01,11.45
429,Visegrad,0,BA,1548937800,74,43.78,19.3,37.4,10.29
430,Broken Hill,0,AU,1548936000,25,-31.97,141.45,77.0,12.75
431,Lasa,75,CY,1548936000,72,34.92,32.53,62.6,5.82
432,Ryde,40,GB,1548937200,98,50.73,-1.16,41.0,5.82
433,El Mante,5,MX,1548935100,80,20.61,-103.43,41.0,2.95
434,Camacha,75,PT,1548936000,72,33.08,-16.33,64.4,12.75
435,Grindavik,20,IS,1548937800,73,63.84,-22.43,26.6,12.75
436,Faya,20,SA,1548936000,20,18.39,42.45,82.4,16.11
437,Dunedin,48,NZ,1548938941,37,-45.87,170.5,72.59,12.68
438,Neiafu,20,TO,1548936000,94,-18.65,-173.98,73.4,9.66
439,Novokayakent,75,RU,1548937800,81,42.39,47.99,46.4,8.95
440,Baruun-Urt,0,MN,1548938942,37,46.68,113.28,9.68,15.48
441,Matara,90,PE,1548936000,93,-13.74,-72.9,46.4,2.24
442,Nagato,75,JP,1548936000,93,34.35,131.14,44.6,3.36
443,Ahipara,0,NZ,1548938942,100,-35.17,173.16,63.23,4.18
444,Vitim,44,RU,1548938942,77,59.44,112.57,-18.5,3.06
445,San Sebastian,36,PH,1548938943,89,11.71,125.02,74.66,10.22
446,Swan River,76,CA,1548938943,31,52.11,-101.27,-22.55,2.84
447,Henties Bay,0,NA,1548938943,91,-22.12,14.28,68.63,9.78
448,Chisec,12,GT,1548938943,94,15.81,-90.29,52.07,1.83
449,Sioux Lookout,5,CA,1548936000,65,50.1,-91.92,-36.41,2.24
450,San Policarpo,68,PH,1548938943,93,12.18,125.51,76.68,12.01
451,Palia Kalan,76,IN,1548938944,68,28.45,80.58,61.34,6.31
452,Nan,20,TH,1548936000,69,18.78,100.78,73.4,2.24
453,Zyryanovsk,88,KZ,1548938944,75,49.74,84.27,5.81,2.17
454,Ilhabela,12,BR,1548938887,94,-23.78,-45.36,82.13,1.83
455,Lafiagi,0,NG,1548938944,48,8.85,5.42,91.94,3.85
456,Belyy Yar,40,RU,1548937800,65,53.6,91.39,5.0,15.66
457,Loreto,0,PY,1548938945,63,-23.27,-57.32,87.08,5.97
458,Port-Cartier,20,CA,1548936000,65,50.03,-66.88,3.2,11.41
459,Sakata,75,JP,1548936000,59,38.92,139.93,33.8,12.75
460,Trairi,0,BR,1548938945,100,-3.28,-39.27,81.05,13.69
461,Lundamo,0,NO,1548937200,59,63.15,10.29,33.8,12.75
462,Pechora,68,RU,1548938945,58,65.12,57.16,-11.79,5.64
463,Vanavara,12,RU,1548938945,0,60.35,102.28,-30.06,6.76
464,Bielsko-Biala,20,PL,1548937800,51,49.82,19.05,39.2,1.12
465,Flinders,75,AU,1548936000,100,-34.58,150.85,62.6,11.41
466,Pascagoula,1,US,1548936900,88,30.37,-88.56,42.08,5.41
467,Beryslav,32,UA,1548938946,80,46.84,33.42,47.3,9.66
468,Ruteng,56,ID,1548938946,92,-8.61,120.46,75.47,4.07
469,Mnogovershinnyy,44,RU,1548938946,78,53.94,139.92,4.01,5.41
470,Nakasongola,0,UG,1548938947,46,1.32,32.46,88.56,9.44
471,Wamba,8,CD,1548938947,81,2.14,27.99,79.61,2.39
472,Narasapur,0,IN,1548938947,97,16.45,81.67,77.94,12.35
473,Adolfo Lopez Mateos,0,MX,1548938947,69,26.8,-109.39,51.98,3.85
474,Kondinskoye,64,RU,1548938947,28,59.65,67.41,-18.72,3.85
475,Vila,75,IT,1548937200,100,45.18,8.4,41.0,1.12
476,Porto Nacional,40,BR,1548936000,74,-10.7,-48.41,84.2,3.36
477,Kieta,56,PG,1548938948,100,-6.22,155.63,77.72,4.41
478,Ekibastuz,92,KZ,1548938948,81,51.72,75.32,3.51,14.81
479,Bad Harzburg,0,DE,1548937200,60,51.88,10.56,39.2,5.82
480,Sola,40,FI,1548937200,85,62.78,29.36,12.2,1.12
481,Taywarah,0,AF,1548938948,69,33.35,64.42,33.84,2.17
482,Manokwari,68,ID,1548938948,100,-0.87,134.08,81.68,18.28
483,Havre-Saint-Pierre,90,CA,1548936240,66,50.23,-63.6,14.0,26.4
484,Honningsvag,40,NO,1548935400,79,70.98,25.97,21.2,8.05
485,Beisfjord,0,NO,1548935400,61,68.38,17.6,17.6,16.11
486,Lazaro Cardenas,40,MX,1548934800,48,28.39,-105.62,41.0,6.93
487,Wanning,0,AT,1548937200,69,48.64,13.53,35.6,10.29
488,La Ronge,90,CA,1548936000,76,55.1,-105.3,-9.41,6.93
489,High Rock,75,BS,1548936000,88,26.63,-78.28,64.4,16.11
490,Marieville,75,CA,1548938100,57,45.43,-73.16,3.2,9.17
491,Rio Brilhante,0,BR,1548938950,56,-21.8,-54.54,87.35,4.41
492,Kamuli,0,UG,1548938950,54,0.94,33.12,88.16,5.19
493,Pechenga,92,RU,1548938950,95,58.89,41.46,26.64,5.75
494,Copiapo,0,CL,1548936000,68,-27.37,-70.33,68.0,2.39
495,Usogorsk,88,RU,1548938950,85,63.43,48.71,15.35,2.62
496,Guaruja,20,BR,1548936000,66,-23.99,-46.26,86.0,3.36
497,Longonjo,75,AO,1548936000,65,-12.91,15.25,77.0,1.5
498,Palmer,0,AU,1548936000,55,-34.85,139.16,62.6,13.87
499,Manikpur,36,IN,1548938951,44,25.07,81.1,69.66,6.98
500,Saldanha,92,PT,1548938951,97,41.42,-6.55,51.03,15.59
501,Cascais,75,PT,1548936000,87,38.7,-9.42,59.0,11.41
502,Aquiraz,75,BR,1548936000,74,-3.9,-38.39,86.0,12.75
503,Victor Harbor,0,AU,1548936000,55,-35.55,138.62,62.6,13.87
504,Bonfim,0,BR,1548936000,45,-20.33,-44.24,82.4,4.7
505,Dunmore East,75,IE,1548936000,93,52.15,-6.99,41.0,27.51
506,Ndjole,48,GA,1548938952,84,-0.18,10.76,84.74,3.85
507,Yumen,0,CN,1548938953,65,40.29,97.04,-0.59,6.2
508,Silver City,40,US,1548938100,71,32.77,-108.28,32.18,11.41
509,Alta,75,NO,1548937200,66,69.97,23.27,12.2,24.16
510,Boksitogorsk,88,RU,1548938953,93,59.47,33.85,29.61,3.29
511,Charters Towers,92,AU,1548938953,98,-20.07,146.27,72.95,10.0
512,Raghogarh,76,IN,1548938953,29,24.45,77.19,74.03,5.41
513,Mae Sot,0,MM,1548938954,49,16.71,98.57,80.64,3.62
514,Sao Miguel,56,BR,1548938954,96,4.52,-61.01,66.33,3.74
515,Angoche,0,MZ,1548938954,100,-16.23,39.91,83.61,10.11
516,Toamasina,20,MG,1548936000,62,-18.17,49.38,87.8,17.22
517,Benguela,68,AO,1548938954,94,-12.58,13.4,81.36,9.22
518,Nemuro,0,JP,1548938954,100,43.32,145.57,25.43,21.63
519,Valverde del Camino,88,ES,1548938954,96,37.57,-6.75,53.96,11.23
520,Banda Aceh,76,ID,1548938955,99,5.56,95.32,75.83,2.39
521,Shakawe,8,BW,1548938955,30,-18.36,21.84,93.69,14.36
522,Ambon,90,FR,1548936000,100,47.55,-2.56,41.0,14.99
523,Hidalgotitlan,40,MX,1548935160,83,17.78,-94.63,69.8,3.29
524,Esfahan,0,IR,1548937800,24,32.66,51.68,59.0,0.38
525,Sidi Ali,100,DZ,1548938955,88,36.1,0.42,57.06,16.37
526,Watsa,12,CD,1548938955,46,3.04,29.53,88.83,4.18
527,Beyneu,44,KZ,1548938956,83,45.32,55.19,25.11,9.44
528,Talbahat,56,IN,1548938956,45,25.05,78.43,70.16,4.97
529,North Bend,1,US,1548935760,96,43.41,-124.22,39.92,9.17
530,Shingu,100,JP,1548938956,100,33.72,135.99,51.39,16.26
531,Omboue,0,GA,1548938956,100,-1.57,9.26,80.19,7.76
532,Zhireken,56,RU,1548938956,69,52.82,117.29,-7.34,2.62
533,Katsuura,75,JP,1548937440,100,33.93,134.5,41.0,5.82
534,Kiama,75,AU,1548936000,100,-34.67,150.86,62.6,11.41
535,Poya,24,NC,1548938957,100,-21.35,165.16,77.18,15.37
536,Innisfail,75,CA,1548936000,85,52.02,-113.95,15.8,8.05
537,Hamilton,75,BM,1548935700,72,32.3,-64.78,66.2,12.75
538,Kayerkan,12,RU,1548938957,0,69.35,87.76,-50.67,2.39
539,Marsh Harbour,76,BS,1548938958,100,26.54,-77.06,69.89,13.35
540,Mehran,0,IR,1548937800,54,33.12,46.17,53.6,6.93
541,Augusto Correa,36,BR,1548938958,84,-1.02,-46.63,82.85,6.64
542,Cururupu,92,BR,1548938958,91,-1.82,-44.87,79.79,5.53
543,Gualeguay,56,AR,1548938958,92,-33.15,-59.31,77.9,7.2
544,Ola,12,RU,1548938958,100,59.58,151.3,4.19,18.84
545,Gumdag,20,TM,1548938959,97,39.2,54.59,45.18,14.58
546,Half Moon Bay,90,US,1548938100,93,37.46,-122.43,53.96,4.7
547,Walvis Bay,0,NA,1548936000,60,-22.95,14.51,71.6,10.29
548,Olga,90,US,1548938100,77,34.11,-118.17,60.08,4.7
549,Cangzhou,44,CN,1548938959,47,38.3,116.85,27.09,9.66
550,Uchiza,88,PE,1548938959,100,-8.46,-76.46,67.86,1.16
551,Alofi,0,NU,1548936000,94,-19.06,-169.92,75.2,2.24
552,Dingle,64,PH,1548938960,72,11.0,122.67,78.98,12.24
553,Nouakchott,0,MR,1548936000,15,18.08,-15.98,78.8,13.87
554,Puerto Narino,75,CO,1548936000,100,-3.77,-70.38,77.0,2.24
555,High Prairie,92,CA,1548938897,77,55.43,-116.48,32.9,7.99
556,Nishihara,75,JP,1548938220,96,35.74,139.53,39.2,18.34
557,Pedasi,0,PA,1548938960,93,7.53,-80.03,77.49,18.95
558,Labuhan,32,ID,1548938960,97,-2.54,115.51,74.39,2.17
559,Port Augusta,0,AU,1548936120,64,-32.49,137.76,68.0,19.46
560,Nuuk,20,GL,1548935400,78,64.17,-51.74,12.2,20.8
561,Launceston,0,AU,1548936000,53,-41.43,147.14,50.0,5.82
562,Polis,75,CY,1548936000,72,35.04,32.42,59.0,5.82
563,Puri,40,ID,1548936000,100,-7.54,112.45,75.2,8.05
564,Churapcha,56,RU,1548938961,0,62.0,132.43,-38.16,2.73
565,Raudeberg,75,NO,1548937200,44,61.99,5.14,39.2,17.22
566,Samarai,80,PG,1548938962,100,-10.62,150.67,78.8,6.98
